"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.32","scope.8","cv.glmnet","cv.MCP","cv.MCP.g.32","cv.MCP.g.8","cv.grLasso"
"1",22,23,34,28,11,11,145,395,116,117,53
"2",15,28,37,28,8,10,123,92,110,72,94
"3",271,26,38,32,9,11,179,38,121,94,107
"4",20,21,35,29,7,8,126,117,117,96,129
"5",18,26,38,27,9,8,209,105,393,123,60
"6",262,29,121,33,9,9,175,83,129,58,404
"7",12,22,26,23,8,8,168,397,390,123,397
"8",274,24,79,27,8,9,201,20,97,61,123
"9",277,33,41,29,9,11,199,131,68,31,71
"10",286,32,62,25,10,8,152,389,117,94,128
"11",24,24,32,24,11,10,145,17,126,384,123
"12",18,22,30,39,8,11,227,53,153,23,139
"13",12,31,35,29,7,12,157,84,92,148,67
"14",14,29,136,27,8,9,151,103,153,124,54
"15",274,30,40,32,8,10,201,69,31,120,121
"16",273,24,34,26,9,10,128,104,21,108,28
"17",297,27,30,36,7,9,114,63,146,60,120
"18",25,24,61,32,10,9,179,117,384,23,121
"19",275,19,42,34,7,10,153,97,399,398,403
"20",278,31,40,30,8,10,202,90,417,395,130
"21",33,21,21,36,9,10,132,93,17,17,114
"22",21,31,71,28,8,8,187,120,401,35,394
"23",20,23,54,31,10,8,197,118,61,93,149
"24",21,31,46,31,8,9,167,23,395,106,100
"25",21,26,84,30,10,9,132,92,398,29,120
"26",265,27,93,31,8,10,184,394,390,108,115
"27",29,23,85,38,7,11,190,23,119,93,121
"28",27,18,48,29,9,10,177,76,32,408,98
"29",293,24,62,30,10,8,123,100,388,70,32
"30",23,30,47,25,7,9,122,130,77,61,111
"31",21,28,66,31,7,12,152,61,74,135,58
"32",14,34,100,26,8,10,184,17,26,20,151
"33",30,28,66,32,8,10,130,26,105,108,406
"34",276,28,48,26,11,9,156,57,416,127,109
"35",32,25,55,27,7,9,231,114,52,121,57
"36",274,31,23,21,10,10,154,108,385,126,127
"37",23,28,34,34,9,9,132,123,112,119,149
"38",24,26,28,23,10,10,180,117,63,69,118
"39",20,37,39,32,10,8,176,56,85,134,84
"40",26,25,63,28,11,8,118,68,57,418,34
"41",20,20,124,30,10,10,141,117,58,22,113
"42",20,18,61,25,8,9,171,20,25,67,148
"43",22,22,132,25,8,12,174,107,134,412,91
"44",19,30,57,22,8,8,102,100,20,110,141
"45",33,22,35,32,9,8,142,22,121,56,103
"46",27,36,65,32,10,11,123,32,128,122,87
"47",277,21,40,31,7,9,147,57,62,71,91
"48",23,28,52,38,9,9,171,24,125,380,82
"49",272,21,41,29,9,8,196,25,54,126,103
"50",27,25,92,28,9,8,195,23,19,79,101
"51",26,24,46,32,11,12,124,123,400,115,25
"52",35,23,62,27,8,8,128,111,60,92,109
"53",18,28,48,26,11,11,139,12,145,27,26
"54",22,26,46,33,9,10,170,96,126,143,100
"55",32,24,73,25,9,10,158,88,55,107,118
"56",25,27,63,30,9,11,170,67,61,117,75
"57",17,29,43,23,8,9,186,112,80,31,81
"58",276,22,113,30,10,12,163,52,65,59,21
"59",23,30,48,28,7,9,145,374,390,113,60
"60",281,26,39,29,8,11,139,111,405,28,129
"61",40,26,76,31,9,8,134,134,389,89,135
"62",32,29,42,30,9,9,188,79,92,94,420
"63",20,29,19,24,7,8,133,95,52,123,31
"64",31,32,162,25,7,8,117,83,87,54,90
"65",19,21,44,29,10,9,163,121,117,60,118
"66",21,27,44,26,8,9,142,92,129,138,30
"67",36,23,30,27,8,9,157,141,406,97,133
"68",18,25,21,31,10,8,203,128,94,79,72
"69",28,24,85,27,8,11,147,399,98,34,144
"70",21,35,72,25,8,8,159,125,119,400,118
"71",19,22,19,24,8,10,157,56,107,111,135
"72",25,29,52,23,7,8,154,85,109,121,107
"73",14,27,70,27,7,9,150,13,31,108,97
"74",21,29,109,34,10,8,172,114,111,62,130
"75",280,34,82,25,8,8,169,114,126,372,129
"76",32,28,60,33,9,10,181,56,126,122,108
"77",29,24,90,29,11,9,149,64,393,55,426
"78",262,28,58,30,9,8,194,124,61,139,416
"79",32,30,38,27,8,8,138,57,60,69,135
"80",285,32,65,22,7,8,163,104,67,96,96
"81",266,25,49,34,10,9,155,87,20,26,106
"82",22,22,43,25,7,11,141,23,60,391,114
"83",27,23,61,26,11,9,190,394,141,100,93
"84",21,26,33,26,8,9,153,381,151,131,120
"85",16,19,91,28,8,8,161,89,120,396,64
"86",268,28,30,26,8,11,184,129,113,122,393
"87",23,24,55,32,9,9,169,92,62,405,94
"88",35,27,62,36,10,8,221,114,107,83,61
"89",28,29,34,26,8,10,173,60,53,96,133
"90",31,25,49,33,7,9,122,100,98,30,125
"91",18,27,39,27,8,11,138,79,141,125,126
"92",254,27,56,26,11,8,130,49,105,18,108
"93",268,26,78,24,7,8,153,132,19,115,92
"94",20,21,79,26,9,12,192,75,393,55,22
"95",31,27,39,23,7,8,178,25,418,141,96
"96",18,27,22,23,8,8,153,85,18,384,137
"97",18,22,23,27,9,10,138,97,23,62,62
"98",18,30,46,33,9,9,151,18,396,54,143
"99",17,29,23,33,8,8,183,67,127,374,151
"100",21,32,32,29,9,9,173,119,128,384,69
"101",25,31,97,27,9,10,144,105,14,24,391
"102",20,28,47,34,8,8,136,120,107,13,38
"103",17,27,41,27,8,8,210,114,26,54,128
"104",24,25,55,26,11,8,164,135,68,59,90
"105",27,21,53,32,7,10,140,57,391,29,115
"106",24,35,44,24,8,8,175,123,92,82,148
"107",18,26,32,34,9,8,157,91,123,145,32
"108",24,31,78,29,9,10,145,82,91,57,50
"109",31,27,42,32,10,10,156,106,98,122,146
"110",33,24,51,24,8,9,179,72,137,108,101
"111",283,29,44,29,10,8,163,131,62,123,142
"112",18,23,56,32,9,8,154,22,70,392,54
"113",25,22,76,32,8,10,101,107,99,53,67
"114",278,26,68,37,7,12,105,102,126,121,22
"115",288,26,54,26,8,12,133,104,128,128,119
"116",21,23,47,32,7,11,210,95,53,108,30
"117",279,32,47,32,10,11,148,110,416,114,27
"118",18,29,51,30,9,9,144,97,383,57,67
"119",17,30,36,29,7,8,145,78,22,398,402
"120",21,25,81,32,8,9,186,29,93,31,412
"121",21,28,50,29,10,8,175,38,31,62,109
"122",18,24,37,40,9,9,155,85,23,109,105
"123",281,26,49,27,9,9,183,92,64,127,108
"124",28,17,62,34,9,8,144,74,56,110,91
"125",35,20,27,35,8,10,150,101,14,63,394
"126",27,21,29,27,9,8,217,69,29,128,400
"127",265,31,61,22,8,9,134,103,376,111,60
"128",26,29,37,34,10,9,195,88,125,23,393
"129",281,26,71,25,8,8,173,66,32,124,137
"130",23,28,41,27,8,8,122,89,396,133,120
"131",30,33,68,29,9,10,127,62,411,128,96
"132",23,28,84,25,10,10,131,109,36,393,391
"133",271,33,82,25,8,8,195,107,121,109,144
"134",21,28,72,28,10,12,155,100,105,97,118
"135",24,28,118,26,9,11,204,121,364,128,68
"136",24,24,47,29,8,10,183,92,381,112,31
"137",23,25,130,35,10,10,111,109,17,77,390
"138",269,31,79,30,10,11,122,124,122,59,115
"139",20,27,34,27,9,8,180,65,123,115,62
"140",19,26,28,34,7,11,133,18,80,75,19
"141",271,23,18,30,8,9,171,14,35,86,136
"142",271,20,135,30,7,11,144,93,88,399,128
"143",19,31,52,34,10,9,186,87,52,117,121
"144",33,28,64,27,9,9,171,33,140,65,58
"145",31,28,85,26,8,8,203,65,137,60,138
"146",281,29,64,33,7,8,184,26,54,109,118
"147",22,25,133,37,7,9,133,57,17,401,67
"148",33,26,25,31,9,8,144,129,78,124,416
"149",21,27,33,28,9,9,114,110,97,143,25
"150",31,27,35,27,8,13,218,92,394,55,393
"151",29,22,38,32,10,12,189,118,74,128,72
"152",280,24,56,36,8,12,178,368,102,397,23
"153",35,37,38,28,7,10,151,122,395,131,50
"154",25,30,55,22,7,8,178,64,112,57,27
"155",291,30,98,35,7,12,155,404,22,115,62
"156",21,35,67,25,8,8,169,26,59,111,67
"157",25,28,124,38,8,9,178,89,109,31,114
"158",20,30,60,29,10,10,145,25,116,16,92
"159",287,24,61,28,10,9,126,98,113,63,63
"160",20,23,40,29,8,10,104,47,118,122,99
"161",281,22,47,37,7,11,116,88,65,388,129
"162",287,20,36,28,9,10,191,67,108,101,418
"163",25,25,22,30,7,9,160,110,395,98,31
"164",263,29,57,25,8,10,140,103,104,21,16
"165",32,29,40,28,7,9,184,398,155,102,13
"166",33,25,48,29,8,9,193,63,99,99,32
"167",24,28,48,28,10,12,172,68,28,57,62
"168",33,29,31,36,10,8,182,406,55,378,68
"169",17,36,67,27,8,10,169,95,86,21,405
"170",266,32,113,31,10,10,136,83,371,119,418
"171",17,25,45,32,9,10,199,26,98,66,121
"172",273,26,34,37,7,9,198,106,127,397,405
"173",38,26,77,25,7,10,132,22,87,52,104
"174",26,28,42,27,8,9,224,80,115,403,60
"175",20,22,76,26,9,12,213,90,32,66,412
"176",28,25,40,35,7,8,125,64,59,382,401
"177",23,27,67,24,10,9,144,105,134,390,37
"178",21,28,74,32,10,8,116,23,63,109,126
"179",290,24,36,26,8,9,152,135,136,112,118
"180",281,26,91,28,10,9,191,81,413,127,16
"181",263,30,46,29,10,8,175,71,379,121,146
"182",298,32,40,24,10,11,165,94,105,399,110
"183",23,32,57,32,8,8,137,27,54,45,96
"184",27,29,36,22,7,10,164,93,404,116,58
"185",20,32,44,27,8,12,219,26,127,60,150
"186",286,30,29,31,8,10,193,18,413,64,21
"187",17,27,22,29,9,9,177,84,56,126,139
"188",29,29,33,30,9,8,166,108,379,128,110
"189",18,29,52,25,7,10,149,95,80,124,410
"190",33,31,121,27,10,8,149,88,98,81,396
"191",21,26,54,24,10,10,121,95,113,100,110
"192",20,29,71,24,8,8,123,119,398,392,18
"193",284,27,39,33,10,8,218,128,105,86,95
"194",23,27,41,28,7,9,177,97,124,413,137
"195",33,26,28,31,8,9,145,28,125,14,17
"196",22,29,48,37,8,8,227,60,120,397,21
"197",20,30,68,32,8,8,120,72,96,124,140
"198",32,18,39,29,7,9,134,91,80,94,105
"199",20,30,40,31,10,10,185,116,135,89,30
"200",25,42,44,32,8,10,133,104,173,131,130
